ID;REG;LAYER;NUM
54;RU-KYA;boundary-polygon;584
54;RU-KYA;railway-station-point;536
54;RU-KYA;building-polygon;184334
54;RU-KYA;poi-point;7123
54;RU-KYA;nature_reserve-polygon;20
54;RU-KYA;land;1279
54;RU-KYA;settlement-polygon;1466
54;RU-KYA;settlement-point;2009
54;RU-KYA;water-polygon;36736
54;RU-KYA;railway-platform-polygon;28
54;RU-KYA;water;26081
54;RU-KYA;surface-polygon;852
54;RU-KYA;aerialway-point;5
54;RU-KYA;vegetation-polygon;30053
54;RU-KYA;highway-crossing-point;1509
10;MD;railway-line;2625
10;MD;parking-polygon;528
10;MD;landuse-polygon;24715
10;MD;public-transport-point;1519
10;MD;building-point;39892
10;MD;highway-line;104350
10;MD;aerialway-line;1
10;MD;poi-polygon;7301
10;MD;water-line;3054
10;MD;boundary-polygon;243
10;MD;railway-station-point;178
10;MD;building-polygon;233938
10;MD;poi-point;14613
10;MD;nature_reserve-polygon;8
10;MD;land;1
10;MD;settlement-polygon;211
10;MD;settlement-point;1672
10;MD;water-polygon;3840
10;MD;railway-platform-polygon;45
10;MD;surface-polygon;891
10;MD;aerialway-point;2
10;MD;vegetation-polygon;9416
10;MD;highway-crossing-point;594
11;AM;railway-line;848
11;AM;parking-polygon;399
11;AM;landuse-polygon;7167
11;AM;public-transport-point;432
11;AM;building-point;406
11;AM;highway-line;66017
11;AM;aerialway-line;12
11;AM;poi-polygon;3453
11;AM;water-line;3917
11;AM;boundary-polygon;34
11;AM;railway-station-point;76
11;AM;building-polygon;199910
11;AM;poi-point;9815
11;AM;nature_reserve-polygon;15
11;AM;land;1
11;AM;settlement-polygon;642
11;AM;settlement-point;954
11;AM;water-polygon;787
11;AM;railway-platform-polygon;9
11;AM;surface-polygon;525
11;AM;aerialway-point;56
11;AM;vegetation-polygon;1983
11;AM;highway-crossing-point;767
33;RU-DA;railway-line;678
33;RU-DA;parking-polygon;125
33;RU-DA;coastlines;24
33;RU-DA;landuse-polygon;3480
33;RU-DA;public-transport-point;130
33;RU-DA;building-point;54
33;RU-DA;highway-line;28393
33;RU-DA;poi-polygon;2300
33;RU-DA;water-line;1372
33;RU-DA;boundary-polygon;436
33;RU-DA;railway-station-point;85
33;RU-DA;building-polygon;57863
33;RU-DA;poi-point;4501
33;RU-DA;nature_reserve-polygon;7
33;RU-DA;land;22
33;RU-DA;settlement-polygon;357
33;RU-DA;settlement-point;1536
33;RU-DA;water-polygon;489
33;RU-DA;railway-platform-polygon;5
33;RU-DA;water;3
33;RU-DA;surface-polygon;401
33;RU-DA;vegetation-polygon;4805
33;RU-DA;highway-crossing-point;189
98;RU-SAR;railway-line;3721
98;RU-SAR;parking-polygon;905
98;RU-SAR;landuse-polygon;21545
98;RU-SAR;public-transport-point;1184
98;RU-SAR;building-point;31
98;RU-SAR;highway-line;75318
98;RU-SAR;aerialway-line;5
98;RU-SAR;poi-polygon;5739
98;RU-SAR;water-line;3530
98;RU-SAR;boundary-polygon;378
98;RU-SAR;railway-station-point;287
98;RU-SAR;building-polygon;167129
98;RU-SAR;poi-point;6991
98;RU-SAR;nature_reserve-polygon;39
98;RU-SAR;land;1
98;RU-SAR;settlement-polygon;678
98;RU-SAR;settlement-point;1823
98;RU-SAR;water-polygon;5719
98;RU-SAR;railway-platform-polygon;80
98;RU-SAR;surface-polygon;1465
98;RU-SAR;aerialway-point;1
98;RU-SAR;vegetation-polygon;18120
98;RU-SAR;highway-crossing-point;1112
49;RU-KLU;railway-line;1332
49;RU-KLU;parking-polygon;1479
49;RU-KLU;landuse-polygon;12188
49;RU-KLU;public-transport-point;1091
49;RU-KLU;building-point;122
49;RU-KLU;highway-line;53748
49;RU-KLU;aerialway-line;2
49;RU-KLU;poi-polygon;5852
49;RU-KLU;water-line;3572
49;RU-KLU;boundary-polygon;312
49;RU-KLU;railway-station-point;165
49;RU-KLU;building-polygon;78041
49;RU-KLU;poi-point;7429
49;RU-KLU;nature_reserve-polygon;14
49;RU-KLU;land;1
49;RU-KLU;settlement-polygon;1182
49;RU-KLU;settlement-point;3346
49;RU-KLU;water-polygon;3474
49;RU-KLU;railway-platform-polygon;28
49;RU-KLU;surface-polygon;2181
49;RU-KLU;vegetation-polygon;19897
49;RU-KLU;highway-crossing-point;1574
78;RU-SAM;railway-line;4012
78;RU-SAM;parking-polygon;2238
78;RU-SAM;landuse-polygon;25477
78;RU-SAM;public-transport-point;1935
78;RU-SAM;building-point;57
78;RU-SAM;highway-line;81826
78;RU-SAM;aerialway-line;10
78;RU-SAM;poi-polygon;10629
78;RU-SAM;water-line;2268
78;RU-SAM;boundary-polygon;374
78;RU-SAM;railway-station-point;231
78;RU-SAM;building-polygon;224210
78;RU-SAM;poi-point;7464
78;RU-SAM;nature_reserve-polygon;67
78;RU-SAM;land;1
78;RU-SAM;settlement-polygon;620
78;RU-SAM;settlement-point;1388
78;RU-SAM;water-polygon;8727
78;RU-SAM;railway-platform-polygon;158
78;RU-SAM;surface-polygon;10228
78;RU-SAM;aerialway-point;2
78;RU-SAM;vegetation-polygon;25832
78;RU-SAM;highway-crossing-point;1626
94;RU-SVE;railway-line;12358
94;RU-SVE;parking-polygon;3711
94;RU-SVE;landuse-polygon;32066
94;RU-SVE;public-transport-point;3738
94;RU-SVE;building-point;565
94;RU-SVE;highway-line;166875
94;RU-SVE;aerialway-line;35
94;RU-SVE;poi-polygon;14119
94;RU-SVE;water-line;10157
94;RU-SVE;boundary-polygon;256
94;RU-SVE;railway-station-point;693
94;RU-SVE;building-polygon;261955
94;RU-SVE;poi-point;24100
94;RU-SVE;nature_reserve-polygon;13
94;RU-SVE;land;1
94;RU-SVE;settlement-polygon;1432
94;RU-SVE;settlement-point;2228
94;RU-SVE;water-polygon;17657
94;RU-SVE;railway-platform-polygon;179
94;RU-SVE;surface-polygon;21626
94;RU-SVE;aerialway-point;30
94;RU-SVE;vegetation-polygon;90853
94;RU-SVE;highway-crossing-point;3698
26;RU-BEL;railway-line;2133
26;RU-BEL;parking-polygon;1062
26;RU-BEL;landuse-polygon;13551
26;RU-BEL;public-transport-point;1161
26;RU-BEL;building-point;153
26;RU-BEL;highway-line;62173
26;RU-BEL;aerialway-line;6
26;RU-BEL;poi-polygon;4989
26;RU-BEL;water-line;1337
26;RU-BEL;boundary-polygon;335
26;RU-BEL;railway-station-point;169
26;RU-BEL;building-polygon;155157
26;RU-BEL;poi-point;5314
26;RU-BEL;nature_reserve-polygon;16
26;RU-BEL;land;1
26;RU-BEL;settlement-polygon;899
26;RU-BEL;settlement-point;1634
26;RU-BEL;water-polygon;2623
26;RU-BEL;railway-platform-polygon;20
26;RU-BEL;surface-polygon;3108
26;RU-BEL;aerialway-point;16
26;RU-BEL;vegetation-polygon;15402
26;RU-BEL;highway-crossing-point;1326
45;RU-KHM;railway-line;2178
45;RU-KHM;parking-polygon;2901
45;RU-KHM;landuse-polygon;19034
45;RU-KHM;public-transport-point;1571
45;RU-KHM;building-point;814
45;RU-KHM;highway-line;95691
45;RU-KHM;aerialway-line;9
45;RU-KHM;poi-polygon;13103
45;RU-KHM;water-line;10685
45;RU-KHM;boundary-polygon;108
45;RU-KHM;railway-station-point;69
45;RU-KHM;building-polygon;232672
45;RU-KHM;poi-point;14592
45;RU-KHM;nature_reserve-polygon;31
45;RU-KHM;land;1
45;RU-KHM;settlement-polygon;298
45;RU-KHM;settlement-point;653
45;RU-KHM;water-polygon;55091
45;RU-KHM;railway-platform-polygon;7
45;RU-KHM;surface-polygon;3759
45;RU-KHM;aerialway-point;19
45;RU-KHM;vegetation-polygon;39451
45;RU-KHM;highway-crossing-point;3437
95;RU-TA;railway-line;2612
95;RU-TA;parking-polygon;2133
95;RU-TA;landuse-polygon;22177
95;RU-TA;public-transport-point;2425
95;RU-TA;building-point;1375
95;RU-TA;highway-line;107990
95;RU-TA;aerialway-line;5
95;RU-TA;poi-polygon;12179
95;RU-TA;water-line;2873
95;RU-TA;boundary-polygon;967
95;RU-TA;railway-station-point;180
95;RU-TA;building-polygon;206600
95;RU-TA;poi-point;13205
95;RU-TA;nature_reserve-polygon;5
95;RU-TA;land;1
95;RU-TA;settlement-polygon;2264
95;RU-TA;settlement-point;3154
95;RU-TA;water-polygon;3274
95;RU-TA;railway-platform-polygon;33
95;RU-TA;surface-polygon;936
95;RU-TA;aerialway-point;24
95;RU-TA;vegetation-polygon;22938
95;RU-TA;highway-crossing-point;3606
90;RU-YAN;railway-line;1764
90;RU-YAN;parking-polygon;367
90;RU-YAN;coastlines;685
90;RU-YAN;landuse-polygon;2890
90;RU-YAN;public-transport-point;347
90;RU-YAN;building-point;11
90;RU-YAN;highway-line;16421
90;RU-YAN;aerialway-line;1
90;RU-YAN;poi-polygon;2908
90;RU-YAN;water-line;3668
90;RU-YAN;boundary-polygon;57
90;RU-YAN;railway-station-point;75
90;RU-YAN;building-polygon;30685
90;RU-YAN;poi-point;2412
90;RU-YAN;nature_reserve-polygon;6
90;RU-YAN;land;657
90;RU-YAN;settlement-polygon;42
90;RU-YAN;settlement-point;152
90;RU-YAN;water-polygon;19086
90;RU-YAN;railway-platform-polygon;1
90;RU-YAN;water;30
90;RU-YAN;surface-polygon;493
90;RU-YAN;vegetation-polygon;3316
90;RU-YAN;highway-crossing-point;665
18;KZ;railway-line;13896
18;KZ;parking-polygon;3189
18;KZ;coastlines;18
18;KZ;landuse-polygon;36376
18;KZ;public-transport-point;3949
18;KZ;building-point;12451
18;KZ;highway-line;239276
18;KZ;aerialway-line;34
18;KZ;poi-polygon;20919
18;KZ;water-line;9710
18;KZ;boundary-polygon;462
18;KZ;railway-station-point;997
18;KZ;building-polygon;882601
18;KZ;poi-point;37354
18;KZ;nature_reserve-polygon;50
18;KZ;land;14
18;KZ;settlement-polygon;2106
18;KZ;settlement-point;7733
18;KZ;water-polygon;11933
18;KZ;railway-platform-polygon;74
18;KZ;water;6
18;KZ;surface-polygon;6201
18;KZ;aerialway-point;44
18;KZ;vegetation-polygon;32143
18;KZ;highway-crossing-point;2505
82;RU-TVE;railway-line;2143
82;RU-TVE;parking-polygon;553
82;RU-TVE;landuse-polygon;26497
82;RU-TVE;public-transport-point;1684
82;RU-TVE;building-point;291
82;RU-TVE;highway-line;75185
82;RU-TVE;aerialway-line;1
82;RU-TVE;poi-polygon;4768
82;RU-TVE;water-line;7893
82;RU-TVE;boundary-polygon;348
82;RU-TVE;railway-station-point;286
82;RU-TVE;building-polygon;172644
82;RU-TVE;poi-point;9932
82;RU-TVE;nature_reserve-polygon;8
82;RU-TVE;land;1
82;RU-TVE;settlement-polygon;3167
82;RU-TVE;settlement-point;9756
82;RU-TVE;water-polygon;9610
82;RU-TVE;railway-platform-polygon;24
82;RU-TVE;surface-polygon;5971
82;RU-TVE;vegetation-polygon;25755
82;RU-TVE;highway-crossing-point;1257
103;RU-SE;railway-line;314
